Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.235134.release92.star.	0	0.0566514730241149	0.05649834989109	0.0632188797584263	0.152471506130834	0.0839482623326303	0.0613892080101859	0	0	0.018145233092937	0	0.0193660173645692	0.311006211945754	0.00395059733966305	0	0	0	0.0420129163559619	0.0248062329765409	0	0	0.106535111777292	0	0.797520245540147	0.682924455399774
EBOVAC.236146.release92.star.	0	0.0528480215330523	0.0292771278005635	0.0675874489963933	0.0479132354547758	0.125232805934438	0.0409536646123142	0	0	0.00335183304792388	0.0235168289733721	0.047544245291628	0.296103083187563	0.00809005778803209	0	0	0.00302601257878554	0.0137121317829078	0.0478766588229281	0	0	0.192966844195323	0	0.829716800761496	0.637729490726651
EBOVAC.237158.release92.star.	0	0.0492664697733055	0.0298648695588213	0.0258032633226203	0.136800784818038	0.141227262740378	0.0602885581012046	0	0	0.0213119816527013	0	0.03031039543601	0.325848021697948	0.0125213011896488	0	0	0.00268711061651923	0.0190966854016531	0.0537334276244408	0	0	0.0912398680667106	0	0.828749079568825	0.661378705467823
EBOVAC.238170.release92.star.	0	0.040180952498943	0.039884396162444	0.128435436573567	0.057844691947764	0.107854280670449	0.0846447841753417	0	0	0.0641294969098568	0	0.00954429274779147	0.311242886553321	0.0079102286525904	0	0	0.00718205824740468	0.0129395344676182	0.0306502368180499	0	0	0.0975567235748588	0	0.812296668147127	0.668423109027167
EBOVAC.239182.release92.star.	0	0.0736213970901655	0.096083481405106	0.056370575685859	0.110151561264542	0.164342597067518	0.0917782757482335	0	0	0.0132105377174204	0	0.0469836515210661	0.194073258410955	0.0144184443587066	0	0	0	0.0388620086020441	0.0489647133474565	0	0	0.0511394977809274	0	0.582293445028503	0.825423405265935
EBOVAC.240194.release92.star.	0	0.0256420818596694	0.0494444127153288	0.0875965771822253	0.134497099082928	0.0550593079310638	0.075917755861903	0	0	0.0124249473304371	0	0.0189107330972415	0.334220652743294	0.00479105519115004	0	0	0	0.0156816463884154	0.0607536003906605	0	0	0.125060130225683	0	0.793183234703313	0.680641270481353
EBOVAC.241111.release92.star.	0	0.0265124579660905	0.0381689765323635	0.0250243680614549	0.113533848991396	0.0776308113804371	0.0376881000493272	0	0	0.0296367617175018	0	0.0141603076410506	0.403240720231305	0.00837295198877838	0	0	0	0.0169473157812103	0.0511607299442549	0	0	0.15792264971483	0	0.811098336859809	0.643068928403671
EBOVAC.242123.release92.star.	0	0.0556582395243276	0.0578848232557824	0.0808629947320425	0.135697752909235	0.0846905227759653	0.0739599966582533	0	0	0	0.0192920323415026	0.0125234766441629	0.293399149076591	0.0050828079143553	0	0	0	0.0347867513612789	0.0168891302438379	0	0	0.129272322562665	0	0.759097779687639	0.707280452861448
EBOVAC.243135.release92.star.	0	0.0770900060386582	0.0293214390230917	0.0421714101546436	0.116475964970817	0.113211037760372	0.0728494938481248	0	0	0.0535912504622842	0	0.080501648101906	0.232491496658519	0.0075052046648356	0	0.00743387565357797	0.00292848044505334	0.00972065914287646	0.0626899411610287	0	0	0.0920180919142112	0	0.79990098274724	0.686844647918846
EBOVAC.244147.release92.star.	0	0.0446076982516081	0.0498068376355697	0.0345125920218351	0.132572519415789	0.0845330280532989	0.0495317713728404	0	0	0.0379589652589343	0	0.00563240663127548	0.271164424338865	0.00442344432300335	0	0	0.0040413192469465	0.0137053591708131	0.0342710318166847	0	0	0.233238602462536	0	0.825558684900373	0.63110769690333
