Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
EBOVAC.235134.release92.star.	0	0.061544944853403	0.0554638324206456	0.0652309550203758	0.123871955586867	0.0997693697619201	0.0571484770507965	0	0	0.0184213775428203	0	0.027163130112193	0.336762341583377	0.0117957513055895	0	0	0	0.0483420314553142	0.00584062065166172	0	0	0.0886452126550357	0.05	0.191428664444415	1.02123269332518
EBOVAC.236146.release92.star.	0	0.0472484822534078	0.0283534835371417	0.043550675445612	0.0921414411458705	0.0529380463725758	0.104901995009745	0	0	0.0155281225572456	0	0.0684816091725958	0.277290621010678	0.0228048315705773	0	0	7.64992491327685e-05	0.0487582822798618	0.0732813139796398	0	0	0.124644596415916	0.0620000000000001	0.171506647376233	1.02463922467907
EBOVAC.237158.release92.star.	0	0.0257449617443029	0.0499922040713801	0.0431590796228204	0.12139078071456	0.115388701938505	0.0976735535853762	0	0	0.0137241683031316	0	0.0461606060568448	0.305796819316504	0.0198857824344631	0	0	0	0.0445957840103707	0.0404882897359764	0	0	0.0759992684657644	0.00900000000000001	0.391159681744043	0.921370424592104
EBOVAC.238170.release92.star.	0	0.0445806072035551	0.0364383294661937	0.085953047916016	0.0663516183652829	0.0879213565002609	0.10282440863036	0	0	0.0561541860510256	0	0.0519955894896057	0.283418855038481	0.0142999555848188	0	0	0	0.0439312039289969	0.0543822696707776	0	0	0.071748572154626	0.021	0.328344472077357	0.951535904257529
EBOVAC.239182.release92.star.	0	0.0327766502652487	0.140706470140023	0.0202527737485441	0.110645751475439	0.233040227637741	0.0538241259275676	0	0	0.00951873798519378	0	0.0341281603755044	0.241539517380994	0	0	0	0	0.00242713342979716	0.0439870136928696	0	0	0.0771534379410778	0.023	0.307251749231986	0.963053937965789
EBOVAC.240194.release92.star.	0	0.021487846826783	0.0469353826687006	0.0857208724911577	0.0794611809626747	0.13140956104034	0.0764572141665472	0	0	0	0	0.0348003461472862	0.327855747725328	0.0135710446515473	0	0	0	0.0466877396354908	0.036376095625504	0	0	0.0992369680586406	0.023	0.299726835780021	0.968389806267979
EBOVAC.241111.release92.star.	0	0.0425904382006696	0.0644926388674783	0.0319630496484983	0.0950146460200839	0.0329828082343762	0.0347659282315204	0	0	0.047190695899281	0	0.0146510487765925	0.437552719366459	0.00754270016294146	0	0	0.0140874834867059	0.0452313093481895	0.00328300591537452	0	0	0.128651527841829	0.00600000000000001	0.447445808165237	0.897977096119326
EBOVAC.242123.release92.star.	0.0129812627802659	0.021441142287082	0.0650648693077578	0.078533454658163	0.152142914120242	0.0813366672600322	0.0517712039902029	0	0	0	0.0177973569463205	0.0203481765463481	0.30429981498409	0	0	0	0	0.0600028071964829	0	0	0	0.134280329923013	0.029	0.268337817857206	0.987644894637813
EBOVAC.243135.release92.star.	0.0069943814328317	0.0339222795430852	0.0390594310851599	0.0289391285787011	0.104756678762869	0.184691633877873	0.114375049576767	0	0	0.0317233280068429	0	0.0588237119488693	0.213052479124188	0.0198147988677363	0	0	0	0.053147506337408	0.0421132693906477	0	0	0.0685863234670206	0.048	0.199659196403375	1.0091630805664
EBOVAC.244147.release92.star.	0	0.0684832768010616	0.0337174833184222	0.0521426661845401	0.107664287743578	0.123068481832779	0.0448676248571313	0	0	0.0260313193596514	0	0.0167782526292365	0.251299087268973	0.00640063390677753	0	0	0	0.048836099622315	0.0215277136733866	0	0	0.199183072802148	0.023	0.296965836173872	0.977398833259158
EBOVAC.245159.release92.star.	0	0.0309343229425064	0.0701791255776912	0.0655779108161482	0.100724145081351	0.101230034757959	0.0485163553068126	0	0	0.0367906082070309	0	0.0121274878845618	0.345403722534255	0.0124355219595066	0	0	0	0.0504509905870974	0	0	0	0.12562977434508	0.023	0.300016821339251	0.973368647014449
EBOVAC.246171.release92.star.	0.0103380317552562	0.0329513550099341	0.0481553603739167	0.0573451331538512	0.0578037124191387	0.234621403803448	0.119703336842153	0	0	0	0	0.054021264042623	0.212531204133921	0.0103605825555067	0	0	0	0.048853828570673	0.0534339259318762	0	0	0.059880861407703	0.025	0.278370421700875	0.973078539997143
EBOVAC.247183.release92.star.	0	0.0762299667022907	0.0310106237021902	0.0200981509721975	0.089355120476116	0.0924946074655196	0.0401505328825465	0	0	0.0191829285200228	0	0.00672352319507952	0.388198131829264	0.0126707084440865	0	0	0	0.0500891003141167	0	0	0	0.173796605496571	0.037	0.239352853290883	1.01761106769604
EBOVAC.248195.release92.star.	0	0.0550726430597732	0.0703876155479207	0.0687776355198305	0.160986274297486	0.0984957046082244	0.00962191495416112	0	0.00292290900034264	0.0292179063324682	0	0	0.34969572369365	0.0154490785792889	0	0	0	0.0508934467158029	0	0	0	0.0884791476910516	0.036	0.244655234416367	1.0000352038206
EBOVAC.249112.release92.star.	0	0.0512756957119208	0.0759984788849441	0.071680343624353	0.125458553735712	0.106158885350005	0.0237403349081467	0	0	0.0605441976789176	0	0.0394271680604828	0.312279127708443	0.0269914123372202	0	0	0	0.0521005341260311	0.000825185061509508	0	0	0.0535200828123144	0.029	0.268212019596686	0.983142430874487
EBOVAC.250124.release92.star.	0	0.0784305104323205	0.05539288061762	0.0902022761447266	0.110746559138799	0.0835955486126638	0.0136350230761807	0	0	0.00659440886602629	0	0.0312519910076892	0.272617680982401	0.00778700756653988	0	0	0	0.056907873038242	0	0	0	0.19283824051679	0.023	0.304305798350687	0.97516502793564
EBOVAC.251136.release92.star.	0	0.049026687173742	0.0278316913024521	0.00562573635929705	0.104915070330881	0.141747317415209	0.0558100090497958	0	0	0.0120615333256448	0	0.032158134804829	0.344740888656238	0.00405763507180713	0	0	0.000383048115863982	0.0171544792044984	0.0451304208521798	0	0	0.159357348337563	0.023	0.293250267959546	0.980386878526941
EBOVAC.252148.release92.star.	0	0.0271734111501556	0.0659800383427012	0.0539680814359906	0.0964969261904334	0.136474770060214	0.0488532599932242	0	0	0.0164481807417572	0	0.0306788689732863	0.353957069209085	0.0218728623772115	0	0	0	0.0466253957641417	0.00414970409744331	0	0	0.0973214316643561	0.00700000000000001	0.441410809217977	0.897335631187015
EBOVAC.253160.release92.star.	0	0.0577866109432076	0.0247156068600168	0.0482191464537633	0.156197749888303	0.0770522531227243	0.11332395545434	0	0	0	0	0.0437753952890477	0.211584003892499	0	0	0	0	0.0499191982901446	0.0599334953324056	0	0	0.157492584473548	0.027	0.270681467625006	0.980672593717692
EBOVAC.254172.release92.star.	0	0.0419477620515546	0.0706469224465046	0.0576925270919576	0.0971495773873301	0.0984246184606806	0.0498289339806588	0	0	0.010230080302482	0	0.020454639633762	0.355353008578731	0.0102563288417049	0	0	0	0.0514468648662662	0	0	0	0.136568736358367	0.033	0.251518915833229	0.99931698258389
